,name_x,team,projTgts_2025,projRec_2025,projYds_2025,projTD_2025,projFantasyPts_2025
121,KaVontae Turpin,DAL,52.44,37.92,379.64,1.98,87.764
90,James Conner,ARI,55.4,39.4,358.4,2.04,87.47999999999999
11,Ameer Abdullah,LV,52.9,41.58,368.64,1.46,87.204
81,Jahan Dotson,PHI,51.92,32.42,393.74,2.54,87.034
53,David Montgomery,DET,54.3,43.08,378.4,0.66,84.87999999999998
126,Kenneth Walker III,SEA,49.64,39.4,349.88,1.7,84.58800000000001
65,Dontayvion Wicks,GB,46.08,35.76,350.78,2.14,83.678
94,Javonte Williams,DEN,58.12,44.6,307.34,1.34,83.37400000000001
98,Jaylen Warren,PIT,47.34,39.46,374.76,1.0,82.936
42,D'Andre Swift,CHI,56.02,44.42,296.4,1.18,81.14
170,Saquon Barkley,PHI,52.44,40.0,362.4,0.74,80.67999999999999
203,Zach Charbonnet,SEA,54.1,41.08,323.94,0.94,79.11399999999999
24,Bucky Irving,TB,54.14,41.66,301.42,0.6,75.40199999999999
158,Rachaad White,TB,51.44,40.86,281.84,0.9,74.444
48,Dare Ogunbowale,HOU,38.08,29.14,275.12,2.46,71.412
109,Josh Jacobs,GB,48.22,35.32,307.6,0.72,70.4
116,Justice Hill,BAL,43.16,35.12,283.24,0.9,68.84400000000001
152,Noah Gray,KC,40.76,27.16,315.88,1.54,67.988
