,name,team,qbr,plays,epa,sack,raw,year
140,Lamar Jackson,BAL,83.0,613,103.7,-7.4,82.3,2019
141,Lamar Jackson,BAL,67.3,585,82.9,-8.9,68.4,2020
142,Lamar Jackson,BAL,56.8,574,62.7,-13.0,56.8,2021
143,Lamar Jackson,BAL,61.1,478,53.0,-8.9,58.7,2022
144,Lamar Jackson,BAL,65.4,676,84.0,-14.1,64.9,2023
145,Lamar Jackson,BAL,77.3,661,107.9,-10.1,77.4,2024
146,Mac Jones,NE,56.9,631,62.9,-13.8,56.4,2021
147,Mac Jones,NE,38.4,538,27.9,-14.5,37.9,2022
148,Mac Jones,NE,37.5,413,21.6,-8.8,37.7,2023
149,Marcus Mariota,TEN,53.2,471,42.2,-16.1,50.6,2018
150,Marcus Mariota,ATL,57.7,430,44.7,-12.2,57.1,2022
151,Mason Rudolph,PIT,36.2,336,16.9,-7.8,36.8,2019
152,Matt Ryan,ATL,65.7,722,92.9,-20.4,68.5,2018
153,Matt Ryan,ATL,59.6,748,75.1,-18.6,60.4,2019
154,Matt Ryan,ATL,59.8,731,90.1,-17.4,61.2,2020
155,Matt Ryan,ATL,52.2,684,64.9,-16.3,53.1,2021
156,Matt Ryan,IND,44.9,554,39.0,-17.0,44.9,2022
157,Matthew Stafford,DET,51.3,647,49.2,-15.0,48.4,2018
158,Matthew Stafford,DET,71.3,353,56.1,-8.0,74.7,2019
159,Matthew Stafford,DET,61.3,626,77.3,-14.1,61.5,2020
160,Matthew Stafford,LAR,69.2,686,92.7,-13.1,69.6,2021
161,Matthew Stafford,LAR,52.3,362,27.4,-11.0,48.3,2022
162,Matthew Stafford,LAR,64.2,607,71.6,-12.7,62.9,2023
163,Matthew Stafford,LAR,64.7,604,71.7,-11.4,63.0,2024
164,Mitchell Trubisky,CHI,71.0,565,80.3,-11.3,70.8,2018
165,Mitchell Trubisky,CHI,41.5,644,39.8,-16.5,42.6,2019
166,Mitchell Trubisky,CHI,53.8,376,41.0,-7.5,57.1,2020
167,Nick Foles,CHI,36.0,359,22.3,-8.7,36.0,2020
168,Nick Mullens,SF,51.7,334,29.0,-6.4,53.8,2018
169,Nick Mullens,SF,36.3,379,17.2,-8.6,31.3,2020
170,Patrick Mahomes,KC,80.3,722,126.0,-10.2,80.4,2018
171,Patrick Mahomes,KC,77.7,585,97.3,-6.5,79.4,2019
172,Patrick Mahomes,KC,78.1,710,138.1,-9.4,80.4,2020
173,Patrick Mahomes,KC,67.7,803,108.3,-9.0,68.4,2021
174,Patrick Mahomes,KC,79.0,763,132.8,-10.7,79.0,2022
175,Patrick Mahomes,KC,63.9,724,92.1,-10.2,65.1,2023
176,Patrick Mahomes,KC,67.6,698,98.3,-15.5,69.0,2024
177,Philip Rivers,LAC,67.8,595,79.1,-12.8,69.1,2018
178,Philip Rivers,LAC,50.5,691,57.1,-16.7,50.8,2019
179,Philip Rivers,IND,55.0,600,73.4,-8.2,58.0,2020
180,Russell Wilson,SEA,63.3,571,69.0,-23.5,62.8,2018
181,Russell Wilson,SEA,71.5,674,90.9,-20.6,71.2,2019
182,Russell Wilson,SEA,67.1,716,102.9,-20.7,65.6,2020
183,Russell Wilson,SEA,60.6,500,55.4,-15.2,58.5,2021
184,Russell Wilson,DEN,38.7,642,37.3,-24.0,40.0,2022
185,Russell Wilson,DEN,51.5,596,48.5,-18.9,50.0,2023
186,Russell Wilson,NYG,51.3,429,38.4,-13.7,52.3,2024
187,Ryan Fitzpatrick,MIA,68.3,620,70.7,-13.1,66.6,2019
188,Ryan Fitzpatrick,MIA,70.9,324,49.9,-5.1,72.8,2020
189,Ryan Tannehill,MIA,33.2,363,13.4,-15.3,31.0,2018
190,Ryan Tannehill,TEN,64.2,374,45.8,-13.7,67.2,2019
191,Ryan Tannehill,TEN,72.6,594,95.3,-11.2,74.0,2020
192,Ryan Tannehill,TEN,61.8,680,80.8,-17.5,61.5,2021
193,Ryan Tannehill,TEN,51.2,416,36.2,-14.3,51.2,2022
194,Sam Darnold,NYJ,45.9,510,36.6,-10.9,45.5,2018
195,Sam Darnold,NYJ,45.6,525,31.6,-13.7,43.5,2019
196,Sam Darnold,NYJ,32.9,455,24.3,-15.5,33.1,2020
197,Sam Darnold,CAR,38.8,508,27.2,-12.4,37.9,2021
198,Sam Darnold,SEA,60.4,703,76.7,-20.0,60.1,2024
199,Sam Howell,WSH,43.2,765,49.7,-25.5,43.4,2023
200,Taylor Heinicke,WSH,45.8,624,50.9,-15.0,47.4,2021
201,Teddy Bridgewater,CAR,56.8,607,71.7,-12.6,57.0,2020
202,Teddy Bridgewater,DEN,53.4,519,52.5,-13.3,56.8,2021
203,Tom Brady,NE,68.4,643,82.6,-9.9,66.6,2018
204,Tom Brady,NE,55.7,691,61.0,-11.0,54.5,2019
205,Tom Brady,TB,66.0,681,94.7,-8.6,67.1,2020
206,Tom Brady,TB,73.1,798,118.5,-8.7,72.2,2021
207,Tom Brady,TB,54.6,823,77.0,-10.4,54.6,2022
208,Trevor Lawrence,JAX,39.1,758,37.9,-11.7,37.6,2021
209,Trevor Lawrence,JAX,56.1,711,69.6,-11.7,55.8,2022
210,Trevor Lawrence,JAX,56.9,727,67.3,-13.7,54.1,2023
211,Trevor Lawrence,JAX,59.5,350,33.1,-7.7,56.7,2024
212,Tua Tagovailoa,MIA,44.8,362,32.4,-8.9,47.9,2020
213,Tua Tagovailoa,MIA,55.7,471,51.8,-9.4,57.2,2021
214,Tua Tagovailoa,MIA,70.6,456,63.5,-8.9,70.1,2022
215,Tua Tagovailoa,MIA,61.5,659,70.6,-10.4,60.0,2023
216,Tua Tagovailoa,MIA,60.3,465,51.9,-9.8,61.9,2024
217,Will Levis,TEN,27.8,426,5.1,-15.1,25.7,2024
218,Zach Wilson,NYJ,33.4,472,17.9,-18.5,32.5,2021
219,Zach Wilson,NYJ,31.3,474,15.8,-20.4,31.6,2023
